border,psnr,ssim
0.1,68.88076520389275,0.9999997206801133
0.2,61.88917239745226,0.9999983517622175
0.3,59.002482360900245,0.9999961317851216
0.4,56.714194758749635,0.999984240019146
0.5,55.32521849614455,0.9999627832492833
0.6,54.35422633056863,0.9999543029169075
0.7,53.51191297794068,0.9999420860902802
0.8,52.849481999286695,0.9999199450991157
0.9,52.22448645479817,0.9998703193584202
1.0,51.61197315608183,0.9998500107677948
1.1,51.116852777161625,0.9998168711638902
1.2,50.76026143626802,0.9997755184020859
1.3,50.32270886483646,0.999729855750413
1.4,49.75390802327918,0.9996849485985754
1.5,49.23710150955053,0.9996365698238794
1.6,48.91122569166924,0.9995781988320251
1.7,48.59194340437927,0.9995576435590378
1.8,48.1845185795741,0.9994545558040571
1.9,48.02269994135603,0.999371785699569
2.0,47.648069819577046,0.9992983773582355
